Tony
Nolan Arenado
Jose Abreu
Kendrys Morales
Daniel Murphy
J.D. Martinez
Eric Thames
Alex Bregman
C.J. Cron
Jonathan Lucroy

Shawn/Will
Mike Trout
Robinson Cano
Carlos Correa
Matt Kemp
Xander Bogaerts
Addison Russell
Stephen Piscotty
Nomar Mazara
Brandon Crawford

Johnny
Mookie Betts
Carlos Gonzalez
Freddie Freeman
Maikel Franco
Jake Lamb
Randal Grichuk
Tommy Joseph
Adonis Garcia
Jung Ho Kang

JJ
Kris Bryant
Miguel Sano
Trevor Story
Joey Votto
Greg Bird
Gary Sanchez
Jonathan Schoop
Anthony Rendon
Andrew Benintendi

Henry
Nelson Cruz
Brian Dozier
Kyle Schwarber
Ryan Braun
Mike Napoli
Adrian Gonzalez
Ryan Schimpf
Mike Moustakas
Corey Dickerson

Aaron
Bryce Harper
Jose Bautista
Andrew McCutchen
Eric Hosmer
Evan Gattis
Buster Posey
Javier Baez
Francisco Lindor
Odubel Herrera

Rob
Manny Machado
Paul Goldschmidt
Adam Jones
Evan Longoria
Matt Carpenter
Troy Tulowitzki
Salvador Perez
Carlos Beltran
Ben Zobrist

Greg
Josh Donaldson
Anthony Rizzo
Jay Bruce
Corey Seager
Adrian Beltre
Victor Martinez
Brad Miller
Matt Holliday
Yasiel Puig

Pat
Giancarlo Stanton
Todd Frazier
George Springer
Kyle Seager
Joc Pederson
Charlie Blackmon
Jackie Bradley Jr.
Marcell Ozuna
Brandon Belt

Ant
Edwin Encarnacion
Yoenis Cespedes
Justin Upton
Hanley Ramirez
Jose Altuve
Christian Yelich
Jorge Polanco
Nicholas Castellanos
Pablo Sandoval

Bill
Khris Davis
Chris Davis
Rougned Odor
Adam Duvall
Justin Turner
Curtis Granderson
Ian Desmond
Jedd Gyorko
Chris Carter

Jay
Mark Trumbo
Miguel Cabrera
Albert Pujols
Carlos Santana
Yasmany Tomas
Wil Myers
Ian Kinsler
Brandon Moss
Michael Saunders
